260|a	Geocode Location
[Albany, New York :	Albany, New York
[Albany :	Albany, New York
[Albany? :	Albany, New York
[Albany] :	Albany, New York
Albany,	Albany, New York
Albany, :	Albany, New York
Albany, N.Y.,	Albany, New York
Albany, N.Y.?	Albany, New York
Albany:	Albany, New York
Albany :	Albany, New York
Albany: :	Albany, New York
Albany [N.Y.] :	Albany, New York
Printed at Albany,	Albany, New York
Printed at Albany :	Albany, New York
Alexandria, Va.,	Alexandria, Virginia
Alexandria, Virginia, :	Alexandria, Virginia
Alexandria [Va.] :	Alexandria, Virginia
Alexandria [Va.]: :	Alexandria, Virginia
Amherst [Mass.? :	Amherst, Massachusetts
[Amherst, N.H.] :	Amherst, New Hampshire
Amherst, N.H.,	Amherst, New Hampshire
Amherst, N.H. :	Amherst, New Hampshire
Amherst, Newhampshire, :	Amherst, New Hampshire
Amherst, New Hampshire, :	Amherst, New Hampshire
Amherst, Newhampshire :	Amherst, New Hampshire
Amherst, New Hampshire :	Amherst, New Hampshire
Amherst, New-Hampshire :	Amherst, New Hampshire
Amherst [N.H.] :	Amherst, New Hampshire
Amherst [N.H.]: :	Amherst, New Hampshire
Printed at Amherst [N.H.], :	Amherst, New Hampshire
Printed at Amherst [N.H.] :	Amherst, New Hampshire
Andover [Mass.] :	Andover, Massachusetts
[Annapolis, Md.] :	Annapolis, Maryland
[Annapolis :	Annapolis, Maryland
[Annapolis? :	Annapolis, Maryland
[Annapolis] North-America :	Annapolis, Maryland
Annapolis ,	Annapolis, Maryland
Annapolis :	Annapolis, Maryland
Annapolis [Md.] :	Annapolis, Maryland
Augusta :	Augusta, Georgia
Augusta [Ga.] :	Augusta, Georgia
[Augusta, Me. :	Augusta, Maine
Augusta, (District of Maine) :	Augusta, Maine
Augusta, (Kennebeck) [Me.] :	Augusta, Maine
Augusta, Me. :	Augusta, Maine
[Ballston Spa, N.Y.] :	Ballston, New York
Ballston, Saratoga County [N.Y.]: :	Ballston, New York
Ballston [N.Y.] :	Ballston, New York
[Baltimore,	Baltimore, Maryland
[Baltimore :	Baltimore, Maryland
[Baltimore? :	Baltimore, Maryland
[Baltimore] :	Baltimore, Maryland
[Maryland :	Baltimore, Maryland
A Baltimore :	Baltimore, Maryland
Baltimore	Baltimore, Maryland
Baltimore,	Baltimore, Maryland
Baltimore :	Baltimore, Maryland
Baltimore: :	Baltimore, Maryland
Basseterre, in Saint Christopher :	Basseterre, Saint Kitts-Nevis
Basseterre, St. Christopher's :	Basseterre, Saint Kitts-Nevis
St. Christopher :	Basseterre, Saint Kitts-Nevis
St. Christopher's :	Basseterre, Saint Kitts-Nevis
[Bennington, Vt.]	Bennington, Vermont
[Bennington, Vt.] :	Bennington, Vermont
[Bennington] :	Bennington, Vermont
Bennington,	Bennington, Vermont
Bennington, Vermont :	Bennington, Vermont
Bennington: (Vermont:) :	Bennington, Vermont
Bennington: State of Vermont 	Bennington, Vermont
Bennington: state of Vermont :	Bennington, Vermont
Bennington: State of Vermont  :	Bennington, Vermont
Bennington [Vt.], :	Bennington, Vermont
Bennington [Vt.] :	Bennington, Vermont
Bennington [Vt.]: :	Bennington, Vermont
Printed at Bennington, (Vermont) :	Bennington, Vermont
Printed at Bennington [Vt.], :	Bennington, Vermont
Printed in [Bennington] Vermont :	Bennington, Vermont
Printed in Bennington, (Vermont) :	Bennington, Vermont
Printed in Bennington, Vermont :	Bennington, Vermont
State of Vermont. Printed in Bennington, :	Bennington, Vermont
Birmingham,	Birmingham, Alabama
[Bogot :	Bogota, Colombia
[Bogot] :	Bogota, Colombia
Con licencia en Sta. F [de Bogot] :	Bogota, Colombia
En Sant[a] F de Bogot :	Bogota, Colombia
En Santaf :	Bogota, Colombia
En Santa F de Bogot :	Bogota, Colombia
En Santa F de Bogot :	Bogota, Colombia
En Santa F de Bogot :	Bogota, Colombia
En Santa F de Bogot :	Bogota, Colombia
En Santa F de Bogota :	Bogota, Colombia
En Santa F de Bogota [Colombia] :	Bogota, Colombia
En Santa Fe de Bogot: :	Bogota, Colombia
En Santafe de Bogota: MDCCXCIII :	Bogota, Colombia
En Sta. F de Bogot :	Bogota, Colombia
En Sta F de Bogot :	Bogota, Colombia
En Sta-F de Bogot :	Bogota, Colombia
Publicado en esta Ciudad de Santa F de Bogot :	Bogota, Colombia
[Boston	Boston, Massachusetts
[Boston  	Boston, Massachusetts
[Boston,	Boston, Massachusetts
[Boston, :	Boston, Massachusetts
[Boston, Mass? :	Boston, Massachusetts
[Boston, Mass. :	Boston, Massachusetts
[Boston, Mass.? :	Boston, Massachusetts
[Boston, Mass.] :	Boston, Massachusetts
[Boston, N.E.,	Boston, Massachusetts
[Boston, New-England,	Boston, Massachusetts
[Boston :	Boston, Massachusetts
[Boston: :	Boston, Massachusetts
[Boston?	Boston, Massachusetts
[Boston? :	Boston, Massachusetts
[Boston ? :	Boston, Massachusetts
[Boston? :s.n.,	Boston, Massachusetts
[Boston?] :	Boston, Massachusetts
[Boston (Faust's Statue, No. 45, Newbury Street)] :	Boston, Massachusetts
[Boston]	Boston, Massachusetts
[Boston],	Boston, Massachusetts
[Boston] :	Boston, Massachusetts
[Boston] America :	Boston, Massachusetts
[Boston] America: :	Boston, Massachusetts
[Boston] Commonwealth of Massachusetts :	Boston, Massachusetts
[Boston] Commonwealth of Massachusetts: :	Boston, Massachusetts
[Boston] Mass. :	Boston, Massachusetts
[Boston] New-England :	Boston, Massachusetts
[London] :	Boston, Massachusetts
"[United States] :;""[Boston :"""	Boston, Massachusetts
A Boston :	Boston, Massachusetts
America, Massachusetts-Bay: Boston,	Boston, Massachusetts
America, Massachusetts-Bay: Boston :	Boston, Massachusetts
America: Boston :	Boston, Massachusetts
America: Massachusetts  Boston :	Boston, Massachusetts
America. Boston :	Boston, Massachusetts
America [i.e., Boston] :	Boston, Massachusetts
Boston	Boston, Massachusetts
Boston 	Boston, Massachusetts
Boston  	Boston, Massachusetts
Boston,	Boston, Massachusetts
"Boston,;""[New York,"""	Boston, Massachusetts
"Boston,;""London"""	Boston, Massachusetts
"Boston,;""Newport, Rhode-Island,"""	Boston, Massachusetts
Boston, :	Boston, Massachusetts
Boston, (Commonwealth of Massachusetts.) :	Boston, Massachusetts
Boston, (Commonwealth of Massachusetts) :	Boston, Massachusetts
Boston, [Mass.] :	Boston, Massachusetts
Boston, Commonwealth of Massachusetts: :	Boston, Massachusetts
Boston, in America :	Boston, Massachusetts
Boston, in America: :	Boston, Massachusetts
Boston, in N.E.	Boston, Massachusetts
Boston, in N. E.	Boston, Massachusetts
Boston, in N.E. :	Boston, Massachusetts
Boston, in New-England, :	Boston, Massachusetts
Boston, in New England :	Boston, Massachusetts
Boston, in New-England :	Boston, Massachusetts
Boston, in New-England: :	Boston, Massachusetts
Boston, in NewEngland [sic].	Boston, Massachusetts
Boston, Mass.,	Boston, Massachusetts
Boston, Mass. :	Boston, Massachusetts
Boston, Massachusetts,	Boston, Massachusetts
Boston, Massachusetts :	Boston, Massachusetts
Boston, N.E.	Boston, Massachusetts
Boston, N.E.,	Boston, Massachusetts
Boston, N. E.,	Boston, Massachusetts
Boston, N.E. :	Boston, Massachusetts
Boston, N. England, :	Boston, Massachusetts
Boston, N.N.E. [sic] :	Boston, Massachusetts
Boston, N E. :	Boston, Massachusetts
Boston, New-England 	Boston, Massachusetts
Boston, New England,	Boston, Massachusetts
Boston, New-England,	Boston, Massachusetts
Boston, New England, :	Boston, Massachusetts
Boston, New-England, :	Boston, Massachusetts
Boston, New England :	Boston, Massachusetts
Boston, New-England :	Boston, Massachusetts
Boston, New-England  :	Boston, Massachusetts
Boston, New-England: :	Boston, Massachusetts
Boston, New-England : Printed and sold by Richard Draper, in Newbury-Street, Edes & Gill, in Queen Street, and Thomas & John Fleet in Cornhill.,	Boston, Massachusetts
Boston, printed. :	Boston, Massachusetts
Boston, Printed by D. and J. Kneeland for T. Leverett,	Boston, Massachusetts
"Boston  ;""New-England :"""	Boston, Massachusetts
Boston:	Boston, Massachusetts
Boston: 	Boston, Massachusetts
Boston:  	Boston, Massachusetts
Boston :	Boston, Massachusetts
Boston : 	Boston, Massachusetts
Boston  :	Boston, Massachusetts
"Boston :;""London :"""	Boston, Massachusetts
Boston: :	Boston, Massachusetts
Boston: :bPrinted by Mein and Fleeming, and to be sold by J. Mein, at London Book-store, North-side of King-street.,	Boston, Massachusetts
Boston: (Commonwealth of Massachusetts) :	Boston, Massachusetts
Boston: (Massachusetts) :	Boston, Massachusetts
Boston: (New-England.) :	Boston, Massachusetts
Boston :[T. & J. Fleet,	Boston, Massachusetts
Boston: Commonwealth of Massachusetts, :	Boston, Massachusetts
Boston: in N.E. :	Boston, Massachusetts
Boston: in New-England, :	Boston, Massachusetts
Boston: N:E :	Boston, Massachusetts
Boston: N.E.	Boston, Massachusetts
Boston: N.E.,	Boston, Massachusetts
Boston: N.E. :	Boston, Massachusetts
Boston : N.E.: 	Boston, Massachusetts
Boston : N.E. :	Boston, Massachusetts
